date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:05	120344/120344	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2021:30:20%20GMT	https://solverwp.com/demo/html/nextpage/index.html	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/index.html	(from )
20:17:06	109/109	---M-Z	200	added ('OK')	text/plain	date:Thu,%2012%20Sep%202024%2013:17:05%20GMT	https://solverwp.com/robots.txt		(from )
20:17:06	982/982	---M--	200	added ('OK')	image/png	etag:%223d6-656a506c-2372b9;;;%22	https://solverwp.com/demo/html/nextpage/assets/img/favicon.png	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/assets/img/favicon.png	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:06	280257/280257	---MCZ	200	added ('OK')	text/css	etag:W/%22446c1-656a506c-237271;br%22	https://solverwp.com/demo/html/nextpage/assets/css/vendor.css	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/assets/css/vendor.css	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:07	70981/70981	---MCZ	200	added ('OK')	text/css	etag:W/%2211545-656a506c-237270;br%22	https://solverwp.com/demo/html/nextpage/assets/css/style.css	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/assets/css/style.css	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:07	8166/8166	---MCZ	200	added ('OK')	text/css	etag:W/%221fe6-656a506c-23726f;br%22	https://solverwp.com/demo/html/nextpage/assets/css/responsive.css	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/assets/css/responsive.css	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:07	1526/1526	---M--	200	added ('OK')	image/png	etag:%225f6-656a506c-2372ec;;;%22	https://solverwp.com/demo/html/nextpage/assets/img/logo.png	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/assets/img/logo.png	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:07	20129/20129	---M--	200	added ('OK')	image/png	etag:%224ea1-656a506c-237280;;;%22	https://solverwp.com/demo/html/nextpage/assets/img/add/1.png	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/assets/img/add/1.png	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:08	153399/153399	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2021:30:20%20GMT	https://solverwp.com/demo/html/nextpage/index-2.html	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/index-2.html	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:08	115552/115552	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2021:30:20%20GMT	https://solverwp.com/demo/html/nextpage/index-3.html	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/index-3.html	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:08	76940/76940	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2021:30:20%20GMT	https://solverwp.com/demo/html/nextpage/index-4.html	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/index-4.html	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:09	56839/56839	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2021:30:20%20GMT	https://solverwp.com/demo/html/nextpage/cat-tech.html	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/cat-tech.html	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:09	56867/56867	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2021:30:20%20GMT	https://solverwp.com/demo/html/nextpage/cat-sports.html	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/cat-sports.html	(from https://solverwp.com/demo/html/nextpage/index.html)
20:17:09	56062/56062	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2021:30:20%20GMT	https://solverwp.com/demo/html/nextpage/cat-lifestyle.html	C:/Users/ducth/Desktop/web/solverwp.com/demo/html/nextpage/cat-lifestyle.html	(from https://solverwp.com/demo/html/nextpage/index.html)
